ID;Category;Name;Method;MethodArgument;RegistryPath;RegistryItem;ClassName;Namespace;Property;DefaultValue;RecommendedValue;Operator;Severity
18.10.81.1;Administrative Templates: Windows Components;Windows Logon Options: Configure the transmission of the user's password in the content of MPR notifications sent by winlogon;Registry;;HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System;EnableMPR;;;;;0;=;Medium
18.10.81.2;Administrative Templates: Windows Components;Windows Logon Options: Sign-in and lock last interactive user automatically after a restart;Registry;;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;DisableAutomaticRestartSignOn;;;;0;1;=;Medium
18.10.88.1.1;Administrative Templates: Windows Components;WinRM Client: Allow Basic authentication;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client;AllowBasic;;;;1;0;=;Medium
18.10.88.1.2;Administrative Templates: Windows Components;WinRM Client: Allow unencrypted traffic;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client;AllowUnencryptedTraffic;;;;1;0;=;Medium
18.10.88.1.3;Administrative Templates: Windows Components;WinRM Client: Disallow Digest authentication;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client;AllowDigest;;;;1;0;=;Medium
18.10.88.2.1;Administrative Templates: Windows Components;WinRM Service: Allow Basic authentication;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service;AllowBasic;;;;1;0;=;Medium
18.10.88.2.3;Administrative Templates: Windows Components;WinRM Service: Allow unencrypted traffic;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service;AllowUnencryptedTraffic;;;;1;0;=;Medium
18.10.88.2.4;Administrative Templates: Windows Components;WinRM Service: Disallow WinRM from storing RunAs credentials;Registry;;HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service;DisableRunAs;;;;0;1;=;Medium
18.10.91.2.1;Administrative Templates: Windows Components;App and browser protection: Prevent users from modifying settings;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection;DisallowExploitProtectionOverride;;;;;1;=;Medium
18.10.92.1.1;Administrative Templates: Windows Components;Windows Update: Legacy Policies: No auto-restart with logged on users for scheduled automatic updates installations;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au;NoAutoRebootWithLoggedOnUsers;;;;0;0;=;Medium
18.10.92.2.1;Administrative Templates: Windows Components;Windows Update: Manage end user experience: Configure Automatic Updates;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au;NoAutoUpdate;;;;0;0;=;Medium
18.10.92.2.2;Administrative Templates: Windows Components;Windows Update: Manage end user experience: Configure Automatic Updates: Scheduled install day;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au;ScheduledInstallDay;;;;;0;=;Medium
19.5.1.1;Administrative Templates: Start Menu and Taskbar;Notifications: Turn off toast notifications on the lock screen;Registry;;HKCU:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications;NoToastApplicationNotificationOnLockScreen;;;;0;1;=;Medium
19.7.5.1;Administrative Templates: Windows Components;Attachment Manager: Do not preserve zone information in file attachments;Registry;;HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments;SaveZoneInformation;;;;;2;=;Medium
19.7.5.2;Administrative Templates: Windows Components;Attachment Manager: Notify antivirus programs when opening attachments;Registry;;HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments;ScanWithAntiVirus;;;;;3;=;Medium
19.7.8.1;Administrative Templates: Windows Components;Cloud Content: Configure Windows spotlight on lock screen;Registry;;HKCU:\Software\Policies\Microsoft\Windows\CloudContent;ConfigureWindowsSpotlight;;;;;2;=;Medium
19.7.8.2;Administrative Templates: Windows Components;Cloud Content: Do not suggest third-party content in Windows spotlight;Registry;;HKCU:\Software\Policies\Microsoft\Windows\CloudContent;DisableThirdPartySuggestions;;;;0;1;=;Medium
19.7.8.5;Administrative Templates: Windows Components;Cloud Content: Turn off Spotlight collection on Desktop;Registry;;HKCU:\Software\Policies\Microsoft\Windows\CloudContent;DisableSpotlightCollectionOnDesktop;;;;;1;=;Medium
19.7.26.1;Administrative Templates: Windows Components;Network Sharing: Prevent users from sharing files within their profile;Registry;;HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer;NoInplaceSharing;;;;0;1;=;Medium
2.3.1.1;Security Options;Accounts: Block Microsoft accounts;Registry;;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;NoConnectedUser;;;;0;3;=;Low
2.3.2.1;Security Options;Audit: Force audit policy subcategory settings to override audit policy category settings;Registry;;HKLM:\System\CurrentControlSet\Control\Lsa;SCENoApplyLegacyAuditPolicy;;;;1;1;=;Low
2.3.2.2;Security Options;Audit: Shut down system immediately if unable to log security audits;Registry;;HKLM:\SYSTEM\CurrentControlSet\Control\Lsa;CrashOnAuditFail;;;;0;0;=;Low
2.3.7.1;Security Options;Interactive logon: Do not require CTRL+ALT+DEL;Registry;;HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System;DisableCAD;;;;1;0;=;Low
2.3.7.2;Security Options;Interactive logon: Don't display last signed-in;Registry;;HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System;DontDisplayLastUserName;;;;0;1;=;Low
2.3.7.4;Security Options;Interactive logon: Message text for users attempting to log on;Registry;;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;LegalNoticeText;;;;;;!=;Low
2.3.7.5;Security Options;Interactive logon: Message title for users attempting to log on;Registry;;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System;LegalNoticeCaption;;;;;;!=;Low
9.1.3;Windows Firewall;Display a notification (Domain Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile;DisableNotifications;;;;0;1;=;Low
9.1.4;Windows Firewall;Name of log file (Domain Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogFilePath;;;;%SystemRoot%\System32\logfiles\firewall\pfirewall.log;%SystemRoot%\System32\logfiles\firewall\domainfw.log;=;Low
9.1.7;Windows Firewall;Log successful connections (Domain Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging;LogSuccessfulConnections;;;;0;1;=;Low
9.2.3;Windows Firewall;Display a notification (Private Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile;DisableNotifications;;;;0;1;=;Low
9.2.4;Windows Firewall;Name of log file (Private Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging;LogFilePath;;;;%SystemRoot%\System32\logfiles\firewall\pfirewall.log;%SystemRoot%\System32\logfiles\firewall\privatefw.log;=;Low
9.2.7;Windows Firewall;Log successful connections (Private Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging;LogSuccessfulConnections;;;;0;1;=;Low
9.3.3;Windows Firewall;Display a notification (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;DisableNotifications;;;;0;1;=;Low
9.3.4;Windows Firewall;Apply local firewall rules (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;AllowLocalPolicyMerge;;;;0;0;=;Low
9.3.5;Windows Firewall;Apply local connection security rules (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile;AllowLocalIPsecPolicyMerge;;;;0;0;=;Low
9.3.6;Windows Firewall;Name of log file (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging;LogFilePath;;;;%SystemRoot%\System32\logfiles\firewall\pfirewall.log;%SystemRoot%\System32\logfiles\firewall\publicfw.log;=;Low
9.3.9;Windows Firewall;Log successful connections (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging;LogSuccessfulConnections;;;;0;1;=;Low
18.1.1.1;Administrative Templates: Control Panel;Personalization: Prevent enabling lock screen camera;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Personalization;NoLockScreenCamera;;;;0;1;=;Low
18.1.1.2;Administrative Templates: Control Panel;Personalization: Prevent enabling lock screen slide show;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Personalization;NoLockScreenSlideshow;;;;0;1;=;Low
2.3.10.6;Security Options;Network access: Named Pipes that can be accessed anonymously (DC);Registry;;HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters;NullSessionPipes;;;;;netlogon;;
2.3.10.8;Security Options;Network access: Remotely accessible registry paths;Registry;;HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths;Machine;;;;System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion;System\CurrentControlSet\Control\ProductOptions;;
2.3.10.9;Security Options;Network access: Remotely accessible registry paths and sub-paths;Registry;;HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths;Machine;;;;System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog;System\CurrentControlSet\Control\Print\Printers;;
